Epoch: 1, Loss: 1.6981, Val Loss: 1.6455
Epoch: 2, Loss: 1.4270, Val Loss: 1.5079
Epoch: 3, Loss: 1.3376, Val Loss: 1.4548
Epoch: 4, Loss: 1.3223, Val Loss: 1.4393
Epoch: 5, Loss: 1.3106, Val Loss: 1.4387
Epoch: 6, Loss: 1.3036, Val Loss: 1.4335
Epoch: 7, Loss: 1.2900, Val Loss: 1.4346
Epoch: 8, Loss: 1.2818, Val Loss: 1.4299
Epoch: 9, Loss: 1.2578, Val Loss: 1.4169
Epoch: 10, Loss: 1.2504, Val Loss: 1.3958
Epoch: 11, Loss: 1.2331, Val Loss: 1.3833
Epoch: 12, Loss: 1.2171, Val Loss: 1.3745
Epoch: 13, Loss: 1.1938, Val Loss: 1.3747
Epoch: 14, Loss: 1.1852, Val Loss: 1.3738
Epoch: 15, Loss: 1.1765, Val Loss: 1.3730
Epoch: 16, Loss: 1.1562, Val Loss: 1.3818
Epoch: 17, Loss: 1.1449, Val Loss: 1.3811
Epoch: 18, Loss: 1.1403, Val Loss: 1.3890
Epoch: 19, Loss: 1.1235, Val Loss: 1.3969
Epoch: 20, Loss: 1.1225, Val Loss: 1.4065
Epoch: 21, Loss: 1.1155, Val Loss: 1.4069
Epoch: 22, Loss: 1.1004, Val Loss: 1.4180
Epoch: 23, Loss: 1.1046, Val Loss: 1.4144
Epoch: 24, Loss: 1.0984, Val Loss: 1.4170
Epoch: 25, Loss: 1.0936, Val Loss: 1.4202
